popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
6.446,8.0,352,8241.0,1956,8,23,3,0,67,444,33,46.93174445546637,46.93174445546637
14.877,8.013,892,5761.0,1945,10,8,0,0,78,289,17,54.445022272563385,54.445022272563385
30.632,8.0,630,5741.0,2023,12,6,2,0,0,172,12,51.5784469003297,51.5784469003297
30.562,8.013,9698,3560.0,2019,10,18,4,0,4,275,11,73.55756164601145,73.55756164601145
84.882,8.0,21932,2930.0,2004,5,31,0,0,19,433,40,79.9659810476914,79.9659810476914
36.394,8.01,6774,2860.0,2009,6,8,0,0,14,108,19,70.6561671124407,70.6561671124407
16.178,8.0,9267,5775.0,2015,10,16,4,0,8,169,4,73.07458308441814,73.07458308441814
12.675,8.008,1441,6212.0,2014,6,23,0,0,9,469,15,58.24848083330191,58.24848083330191
30.655,8.008,12214,461.0,1999,9,15,2,0,24,175,15,75.35864322940425,75.35864322940425
45.957,8.003,8177,2519.0,2019,11,13,2,0,4,329,14,72.10065081609949,72.10065081609949
16.667,8.0,2875,835.0,1975,12,18,3,0,48,182,12,63.713245750727495,63.713245750727495
29.253,8.002,3081,3914.0,2023,12,15,4,0,0,143,23,64.28273879507226,64.28273879507226
9.084,8.0,428,9265.0,1949,9,13,1,0,74,413,2,48.491655351424136,48.491655351424136
23.393,8.001,2354,9222.0,2019,6,19,2,0,4,548,4,62.122132347610595,62.122132347610595
14.093,8.0,697,9458.0,2004,2,5,3,0,19,152,8,52.38575282209898,52.38575282209898
17.148,8.0,1034,3665.0,2011,3,27,6,1,12,156,34,55.537253645595754,55.537253645595754
24.703,8.0,5956,1371.0,1995,11,22,2,0,28,351,6,69.5385782210295,69.5385782210295
9.486,8.0,589,3506.0,2023,3,29,2,0,0,472,30,51.04098029519812,51.04098029519812
8.478,8.0,339,1036.0,2020,11,27,4,0,3,243,12,46.63156494088166,46.63156494088166
46.24,7.999,9479,1688.0,2021,5,26,2,0,2,633,7,73.24635982239728,73.24635982239728
